customer_id,channel,campaign,cac,conversion_date,cost_per_click,impressions,clicks
1,Direct,Partner Referral,167.65,2022-01-01,15.24,30509,1633
2,LinkedIn,Cold Outbound,601.08,2022-01-01,75.14,47771,187
3,Direct,Product Launch,167.82,2022-01-01,18.65,4158,474
4,Meta Ads,Retargeting Wave,209.23,2022-01-01,23.25,30456,943
5,Meta Ads,Summer Growth,305.17,2022-01-02,15.26,12448,1541
6,Organic,End of Year Push,158.94,2022-01-02,10.6,39046,1554
7,LinkedIn,Product Launch,743.68,2022-01-02,37.18,43019,1298
8,Organic,Inbound SEO,120.15,2022-01-02,8.01,2131,1033
9,Organic,Partner Referral,130.4,2022-01-02,14.49,4147,1888
10,Meta Ads,End of Year Push,303.82,2022-01-02,13.81,29628,1583
11,Google Ads,Brand Awareness Q1,312.64,2022-01-03,17.37,19248,1320
12,Meta Ads,Cold Outbound,248.74,2022-01-04,19.13,36381,1961
13,Organic,Product Launch,144.01,2022-01-04,11.08,45914,1402
14,Meta Ads,Brand Awareness Q1,277.12,2022-01-04,27.71,11471,913
15,Email,Retargeting Wave,93.2,2022-01-05,5.83,27760,1491
16,Google Ads,Inbound SEO,320.52,2022-01-05,26.71,49039,1854
17,Google Ads,Partner Referral,305.34,2022-01-06,38.17,42884,923
18,Referral,Cold Outbound,146.56,2022-01-06,12.21,46032,1335
19,Google Ads,Inbound SEO,370.65,2022-01-07,28.51,24210,994
20,Organic,Retargeting Wave,153.01,2022-01-07,6.65,32928,1171
21,Direct,Cold Outbound,126.09,2022-01-07,15.76,46170,1481
22,LinkedIn,Cold Outbound,595.8,2022-01-08,27.08,30525,1638
23,Referral,Summer Growth,149.58,2022-01-10,12.47,40792,1102
24,Meta Ads,Product Launch,243.53,2022-01-11,9.74,20574,367
25,Google Ads,Product Launch,249.81,2022-01-13,10.41,10109,1880
26,Google Ads,Partner Referral,355.13,2022-01-14,22.2,8333,946
27,Organic,Cold Outbound,140.5,2022-01-15,14.05,42801,1106
28,Direct,Partner Referral,103.33,2022-01-15,5.17,36069,1105
29,Organic,Partner Referral,132.08,2022-01-17,6.6,20528,1016
30,Direct,Inbound SEO,157.72,2022-01-18,15.77,9959,1004
31,Meta Ads,Summer Growth,206.73,2022-01-18,15.9,17703,323
32,Meta Ads,Inbound SEO,230.53,2022-01-18,14.41,5952,1767
33,Google Ads,Summer Growth,242.88,2022-01-18,9.72,45124,585
34,Meta Ads,Brand Awareness Q1,253.12,2022-01-20,23.01,31385,52
35,LinkedIn,Partner Referral,722.81,2022-01-20,31.43,7235,801
36,Organic,Summer Growth,148.77,2022-01-20,16.53,31386,1743
37,Google Ads,End of Year Push,285.6,2022-01-22,13.6,36411,1235
38,Google Ads,Partner Referral,310.82,2022-01-23,14.13,46335,360
39,LinkedIn,Summer Growth,552.78,2022-01-23,61.42,21964,187
40,Organic,Brand Awareness Q1,175.58,2022-01-24,19.51,44821,1010
41,Organic,Inbound SEO,126.37,2022-01-24,15.8,48112,411
42,Organic,Inbound SEO,122.88,2022-01-25,7.23,37550,1019
43,Organic,End of Year Push,165.76,2022-01-25,12.75,2647,217
44,Organic,Cold Outbound,160.47,2022-01-25,8.45,41418,1669
45,LinkedIn,Cold Outbound,544.16,2022-01-26,30.23,42443,521
46,Referral,Cold Outbound,109.56,2022-01-26,6.44,17172,1752
47,Referral,Partner Referral,104.26,2022-01-26,6.52,44340,1378
48,Organic,Partner Referral,136.88,2022-01-27,8.05,7905,765
49,Referral,Retargeting Wave,94.78,2022-01-27,10.53,45060,1792
50,Google Ads,End of Year Push,384.07,2022-01-27,25.6,30553,1969
51,Referral,End of Year Push,122.88,2022-01-28,5.59,28270,1680
52,Referral,Cold Outbound,131.91,2022-01-29,6.6,35468,285
53,LinkedIn,Brand Awareness Q1,765.18,2022-01-29,31.88,21486,753
54,Meta Ads,Cold Outbound,192.38,2022-01-29,11.32,39737,1396
55,Organic,Retargeting Wave,141.79,2022-01-30,7.09,34330,1092
56,Organic,Brand Awareness Q1,136.37,2022-01-31,5.68,4321,483
57,Direct,Partner Referral,179.7,2022-02-01,13.82,19062,1554
58,Organic,Retargeting Wave,141.33,2022-02-01,8.83,22172,104
59,Meta Ads,Partner Referral,260.86,2022-02-01,18.63,12470,579
60,Google Ads,Product Launch,278.96,2022-02-02,12.68,48776,1260
61,Organic,Summer Growth,174.08,2022-02-02,19.34,46449,1111
62,Google Ads,Summer Growth,350.88,2022-02-03,14.04,16902,890
63,LinkedIn,Inbound SEO,763.97,2022-02-03,50.93,11375,206
64,Organic,Partner Referral,169.61,2022-02-03,15.42,33273,1413
65,Organic,Cold Outbound,169.12,2022-02-04,12.08,43153,613
66,LinkedIn,Brand Awareness Q1,748.0,2022-02-04,83.11,10736,352
67,LinkedIn,Product Launch,596.51,2022-02-05,31.4,40883,1992
68,Meta Ads,Brand Awareness Q1,310.54,2022-02-06,17.25,22250,657
69,Meta Ads,Cold Outbound,202.96,2022-02-07,8.12,7183,1520
70,LinkedIn,Retargeting Wave,788.93,2022-02-07,34.3,45266,573
71,LinkedIn,Cold Outbound,638.94,2022-02-07,37.58,25835,60
72,Google Ads,Cold Outbound,333.42,2022-02-07,30.31,32073,1526
73,Meta Ads,Cold Outbound,215.29,2022-02-08,16.56,5782,587
74,Google Ads,Cold Outbound,313.28,2022-02-08,17.4,35583,147
75,Referral,Product Launch,104.09,2022-02-09,8.01,28275,963
76,Referral,Cold Outbound,138.72,2022-02-10,5.55,34889,994
77,Direct,Retargeting Wave,133.06,2022-02-10,7.39,34101,578
78,Referral,Summer Growth,133.09,2022-02-10,8.87,18695,58
79,Organic,Product Launch,156.62,2022-02-10,11.19,27759,1873
80,Direct,Partner Referral,169.13,2022-02-10,13.01,46072,979
81,Google Ads,End of Year Push,398.57,2022-02-11,24.91,25199,1884
82,Organic,Summer Growth,156.17,2022-02-11,13.01,18771,1773
83,Email,Retargeting Wave,77.18,2022-02-11,3.36,40086,546
84,Google Ads,Inbound SEO,366.13,2022-02-11,17.43,8287,1936
85,Referral,Partner Referral,148.68,2022-02-11,5.95,26849,328
86,LinkedIn,End of Year Push,695.43,2022-02-11,77.27,30996,107
87,LinkedIn,Retargeting Wave,567.35,2022-02-11,23.64,2482,1824
88,Google Ads,Partner Referral,277.13,2022-02-12,30.79,9106,1497
89,Organic,Retargeting Wave,158.14,2022-02-13,10.54,16757,158
90,Organic,Product Launch,146.4,2022-02-13,6.37,4917,1149
91,Google Ads,Retargeting Wave,343.79,2022-02-13,20.22,30421,1836
92,Referral,Summer Growth,109.29,2022-02-14,9.94,9023,1331
93,Organic,Brand Awareness Q1,152.62,2022-02-14,6.64,36186,1785
94,Organic,Brand Awareness Q1,174.24,2022-02-14,8.71,27775,208
95,Google Ads,Inbound SEO,381.12,2022-02-14,15.88,22213,1101
96,Google Ads,Partner Referral,277.06,2022-02-14,15.39,46942,1756
97,Google Ads,Brand Awareness Q1,323.66,2022-02-15,24.9,41687,1800
98,Meta Ads,Inbound SEO,253.12,2022-02-15,21.09,5482,1971
99,Organic,Partner Referral,159.77,2022-02-16,7.61,38773,134
100,Direct,Retargeting Wave,131.61,2022-02-17,6.58,39122,1938
101,LinkedIn,Retargeting Wave,634.09,2022-02-17,48.78,35683,1077
102,Referral,Retargeting Wave,149.55,2022-02-17,6.8,2859,722
103,Organic,End of Year Push,134.55,2022-02-17,10.35,40928,1156
104,Meta Ads,Summer Growth,306.65,2022-02-18,23.59,14236,1577
105,Organic,Partner Referral,121.01,2022-02-18,6.05,34772,943
106,Email,Cold Outbound,67.61,2022-02-19,2.94,36226,847
107,Organic,Inbound SEO,176.68,2022-02-20,13.59,31380,344
108,Meta Ads,Brand Awareness Q1,283.43,2022-02-20,18.9,10300,62
109,Meta Ads,Cold Outbound,307.79,2022-02-20,12.31,15343,1752
110,Google Ads,Brand Awareness Q1,395.19,2022-02-20,18.82,12427,1413
111,Meta Ads,Retargeting Wave,295.34,2022-02-21,15.54,49939,1599
112,Email,Inbound SEO,98.2,2022-02-21,4.27,16406,750
113,Referral,Product Launch,92.14,2022-02-21,4.19,33248,1369
114,LinkedIn,Retargeting Wave,462.79,2022-02-21,25.71,14456,745
115,Meta Ads,Cold Outbound,278.8,2022-02-22,19.91,4490,1978
116,Organic,Product Launch,147.74,2022-02-22,11.36,36594,755
117,Referral,Brand Awareness Q1,136.71,2022-02-23,8.04,46977,384
118,Referral,Product Launch,82.92,2022-02-23,4.61,22925,741
119,Google Ads,End of Year Push,305.69,2022-02-23,13.89,30525,1379
120,Organic,Partner Referral,126.26,2022-02-23,5.49,37063,1150
121,Referral,Partner Referral,84.84,2022-02-23,4.99,26696,1830
122,LinkedIn,Partner Referral,531.5,2022-02-23,29.53,25411,1296
123,Organic,Retargeting Wave,177.83,2022-02-23,7.41,44487,1949
124,Referral,Partner Referral,132.23,2022-02-24,5.75,49397,517
125,Organic,Summer Growth,162.7,2022-02-25,12.52,19074,1164
126,LinkedIn,Cold Outbound,573.29,2022-02-25,26.06,2401,71
127,LinkedIn,Product Launch,598.13,2022-02-25,39.88,44893,1309
128,Google Ads,Retargeting Wave,290.05,2022-02-26,22.31,28139,612
129,Organic,Inbound SEO,144.75,2022-02-26,10.34,4376,224
130,Organic,End of Year Push,163.1,2022-02-26,10.87,38243,1097
131,Organic,Cold Outbound,127.04,2022-02-26,12.7,25136,344
132,Meta Ads,Partner Referral,214.69,2022-02-27,8.59,41430,159
133,Google Ads,Summer Growth,382.02,2022-02-27,42.45,35944,1429
134,Organic,End of Year Push,127.02,2022-02-28,9.07,30452,623
135,Referral,Partner Referral,93.84,2022-03-01,4.27,1887,314
136,LinkedIn,Product Launch,607.45,2022-03-01,25.31,30699,195
137,Email,Inbound SEO,115.56,2022-03-01,5.5,43757,1321
138,Google Ads,Retargeting Wave,351.49,2022-03-02,18.5,32916,747
139,Meta Ads,Inbound SEO,265.62,2022-03-02,13.98,2165,1874
140,Google Ads,End of Year Push,383.45,2022-03-03,19.17,9282,1203
141,LinkedIn,Summer Growth,479.04,2022-03-03,28.18,34181,796
142,Referral,Retargeting Wave,146.99,2022-03-04,14.7,37144,509
143,LinkedIn,Inbound SEO,779.72,2022-03-04,64.98,48935,1797
144,LinkedIn,Brand Awareness Q1,578.44,2022-03-04,26.29,44326,1634
145,Meta Ads,Product Launch,316.71,2022-03-05,31.67,26344,1381
146,Google Ads,Product Launch,379.79,2022-03-05,37.98,20119,1754
147,Direct,Retargeting Wave,149.14,2022-03-06,8.29,10260,172
148,Referral,Product Launch,82.83,2022-03-06,3.6,41831,839
149,Referral,Cold Outbound,141.72,2022-03-06,10.12,2185,1100
150,LinkedIn,Retargeting Wave,641.42,2022-03-07,71.27,12856,1734
151,LinkedIn,End of Year Push,689.12,2022-03-07,53.01,47914,1969
152,Organic,Retargeting Wave,130.11,2022-03-08,7.65,1129,1558
153,LinkedIn,Partner Referral,653.96,2022-03-08,43.6,19476,1368
154,Referral,Retargeting Wave,135.02,2022-03-08,13.5,12036,1682
155,LinkedIn,Brand Awareness Q1,737.96,2022-03-09,38.84,47583,1750
156,LinkedIn,Inbound SEO,573.75,2022-03-10,63.75,46860,105
157,Google Ads,Retargeting Wave,370.77,2022-03-11,37.08,9432,1689
158,Direct,Product Launch,123.67,2022-03-11,6.87,20323,882
159,Organic,Summer Growth,153.22,2022-03-11,13.93,13865,1688
160,Google Ads,End of Year Push,394.12,2022-03-12,24.63,33421,1504
161,Google Ads,End of Year Push,250.99,2022-03-13,11.95,45844,410
162,Referral,Partner Referral,109.93,2022-03-13,10.99,12666,1060
163,Organic,Summer Growth,169.16,2022-03-13,15.38,10378,103
164,Referral,End of Year Push,123.35,2022-03-14,5.14,5977,508
165,Organic,Retargeting Wave,137.4,2022-03-14,5.5,2752,383
166,LinkedIn,Brand Awareness Q1,782.78,2022-03-14,31.31,36219,1370
167,Meta Ads,Partner Referral,189.83,2022-03-16,9.04,20293,1707
168,Google Ads,Summer Growth,270.12,2022-03-17,30.01,34128,365
169,Organic,Inbound SEO,133.02,2022-03-18,6.65,37304,1539
170,Referral,Cold Outbound,94.48,2022-03-18,7.87,15802,1607
171,Google Ads,Partner Referral,378.01,2022-03-18,16.44,4028,665
172,Email,Summer Growth,102.69,2022-03-19,4.46,6075,73
173,Referral,Summer Growth,95.24,2022-03-19,8.66,33672,1674
174,Referral,Inbound SEO,100.34,2022-03-19,12.54,7840,539
175,LinkedIn,Brand Awareness Q1,723.6,2022-03-19,48.24,18354,1686
176,Google Ads,Brand Awareness Q1,298.86,2022-03-19,12.99,5520,574
177,Referral,Partner Referral,113.23,2022-03-19,5.96,4303,1742
178,LinkedIn,Product Launch,608.82,2022-03-19,32.04,46865,1810
179,LinkedIn,Summer Growth,503.21,2022-03-20,25.16,49415,477
180,Organic,End of Year Push,121.57,2022-03-20,5.29,42606,1081
181,LinkedIn,Brand Awareness Q1,482.49,2022-03-20,26.8,45721,1596
182,Google Ads,Brand Awareness Q1,375.5,2022-03-20,26.82,38073,1303
183,Google Ads,Brand Awareness Q1,363.44,2022-03-22,17.31,26644,1831
184,Meta Ads,Retargeting Wave,181.91,2022-03-23,9.1,39637,1816
185,Referral,End of Year Push,107.78,2022-03-23,8.98,16741,496
186,LinkedIn,Cold Outbound,470.74,2022-03-23,42.79,49140,1445
187,Google Ads,Brand Awareness Q1,371.01,2022-03-23,16.13,4805,611
188,LinkedIn,End of Year Push,645.8,2022-03-23,43.05,12467,492
189,Google Ads,Partner Referral,375.1,2022-03-23,20.84,35530,1643
190,Meta Ads,End of Year Push,219.94,2022-03-23,16.92,16451,1008
191,Google Ads,Cold Outbound,357.15,2022-03-24,27.47,9815,1124
192,Referral,Product Launch,102.75,2022-03-24,5.41,36571,1986
193,Google Ads,Inbound SEO,283.9,2022-03-25,25.81,14365,1320
194,Referral,Partner Referral,142.59,2022-03-25,17.82,14575,1932
195,Google Ads,End of Year Push,377.91,2022-03-25,18.0,32980,1161
196,Meta Ads,Cold Outbound,208.87,2022-03-25,14.92,26477,1848
197,Meta Ads,Product Launch,268.89,2022-03-26,17.93,35357,84
198,Organic,Partner Referral,161.69,2022-03-26,10.11,29268,795
199,Meta Ads,Retargeting Wave,237.86,2022-03-26,9.91,28728,1561
200,Meta Ads,Summer Growth,279.64,2022-03-27,13.98,15631,1055
201,Referral,Partner Referral,89.12,2022-03-27,5.94,7423,986
