payment_id,customer_id,subscription_id,date,amount,currency,status,plan
1,4,5,2022-01-15,199,USD,Paid,Business
2,4,6,2022-02-15,79,USD,Paid,Pro
3,4,6,2022-03-15,79,USD,Paid,Pro
4,4,6,2022-04-15,79,USD,Failed,Pro
5,4,6,2022-05-15,79,USD,Paid,Pro
6,4,6,2022-06-15,79,USD,Failed,Pro
7,4,6,2022-07-15,79,USD,Paid,Pro
8,8,11,2022-01-16,199,USD,Paid,Business
9,8,11,2022-02-16,199,USD,Paid,Business
10,8,11,2022-03-16,199,USD,Failed,Business
11,8,11,2022-04-16,199,USD,Paid,Business
12,8,11,2022-05-16,199,USD,Paid,Business
13,8,11,2022-06-16,199,USD,Paid,Business
14,8,11,2022-07-16,199,USD,Paid,Business
15,8,11,2022-08-16,199,USD,Paid,Business
16,8,11,2022-09-16,199,USD,Paid,Business
17,8,11,2022-10-16,199,USD,Paid,Business
18,8,11,2022-11-16,199,USD,Paid,Business
19,8,11,2022-12-16,199,USD,Paid,Business
20,8,11,2023-01-16,199,USD,Paid,Business
21,8,12,2023-02-16,499,USD,Paid,Enterprise
22,8,12,2023-03-16,499,USD,Paid,Enterprise
23,8,12,2023-04-16,499,USD,Paid,Enterprise
24,8,12,2023-05-16,499,USD,Paid,Enterprise
25,8,12,2023-06-16,499,USD,Paid,Enterprise
26,8,12,2023-07-16,499,USD,Paid,Enterprise
27,8,12,2023-08-16,499,USD,Paid,Enterprise
28,8,12,2023-09-16,499,USD,Paid,Enterprise
29,8,12,2023-10-16,499,USD,Paid,Enterprise
30,8,12,2023-11-16,499,USD,Paid,Enterprise
31,8,12,2023-12-16,499,USD,Paid,Enterprise
32,8,12,2024-01-16,499,USD,Paid,Enterprise
33,8,12,2024-02-16,499,USD,Paid,Enterprise
34,8,12,2024-03-16,499,USD,Paid,Enterprise
35,8,12,2024-04-16,499,USD,Paid,Enterprise
36,8,12,2024-05-16,499,USD,Paid,Enterprise
37,8,12,2024-06-16,499,USD,Paid,Enterprise
38,8,12,2024-07-16,499,USD,Paid,Enterprise
39,8,12,2024-08-16,499,USD,Paid,Enterprise
40,8,12,2024-09-16,499,USD,Paid,Enterprise
41,8,12,2024-10-16,499,USD,Paid,Enterprise
42,8,12,2024-11-16,499,USD,Paid,Enterprise
43,8,12,2024-12-16,499,USD,Paid,Enterprise
44,13,18,2022-01-18,79,USD,Paid,Pro
45,13,18,2022-02-18,79,USD,Paid,Pro
46,13,18,2022-03-18,79,USD,Paid,Pro
47,13,18,2022-04-18,79,USD,Paid,Pro
48,16,22,2022-01-19,79,USD,Paid,Pro
49,16,22,2022-02-19,79,USD,Paid,Pro
50,16,22,2022-03-19,79,USD,Paid,Pro
51,16,22,2022-04-19,79,USD,Paid,Pro
52,16,22,2022-05-19,79,USD,Paid,Pro
53,16,22,2022-06-19,79,USD,Paid,Pro
54,16,22,2022-07-19,79,USD,Paid,Pro
55,16,22,2022-08-19,79,USD,Paid,Pro
56,16,23,2022-09-19,199,USD,Paid,Business
57,16,23,2022-10-19,199,USD,Paid,Business
58,16,23,2022-11-19,199,USD,Paid,Business
59,16,23,2022-12-19,199,USD,Paid,Business
60,16,23,2023-01-19,199,USD,Paid,Business
61,16,23,2023-02-19,199,USD,Paid,Business
62,16,23,2023-03-19,199,USD,Paid,Business
63,16,23,2023-04-19,199,USD,Paid,Business
64,16,23,2023-05-19,199,USD,Paid,Business
65,16,23,2023-06-19,199,USD,Paid,Business
66,16,23,2023-07-19,199,USD,Paid,Business
67,16,23,2023-08-19,199,USD,Paid,Business
68,16,23,2023-09-19,199,USD,Paid,Business
69,17,25,2022-01-20,199,USD,Paid,Business
70,17,25,2022-02-20,199,USD,Paid,Business
71,17,25,2022-03-20,199,USD,Paid,Business
72,17,25,2022-04-20,199,USD,Paid,Business
73,17,25,2022-05-20,199,USD,Paid,Business
74,17,25,2022-06-20,199,USD,Paid,Business
75,17,25,2022-07-20,199,USD,Paid,Business
76,17,25,2022-08-20,199,USD,Paid,Business
77,17,26,2022-09-20,79,USD,Paid,Pro
78,17,26,2022-10-20,79,USD,Paid,Pro
79,17,26,2022-11-20,79,USD,Paid,Pro
80,17,26,2022-12-20,79,USD,Paid,Pro
81,17,26,2023-01-20,79,USD,Paid,Pro
82,17,26,2023-02-20,79,USD,Paid,Pro
83,17,26,2023-03-20,79,USD,Paid,Pro
84,17,26,2023-04-20,79,USD,Paid,Pro
85,17,26,2023-05-20,79,USD,Paid,Pro
86,17,26,2023-06-20,79,USD,Paid,Pro
87,17,26,2023-07-20,79,USD,Paid,Pro
88,17,26,2023-08-20,79,USD,Paid,Pro
89,17,26,2023-09-20,79,USD,Paid,Pro
90,17,26,2023-10-20,79,USD,Paid,Pro
91,17,26,2023-11-20,79,USD,Paid,Pro
92,17,26,2023-12-20,79,USD,Paid,Pro
93,17,26,2024-01-20,79,USD,Paid,Pro
94,17,26,2024-02-20,79,USD,Paid,Pro
95,17,26,2024-03-20,79,USD,Paid,Pro
96,17,26,2024-04-20,79,USD,Paid,Pro
97,17,26,2024-05-20,79,USD,Paid,Pro
98,17,26,2024-06-20,79,USD,Paid,Pro
99,17,26,2024-07-20,79,USD,Paid,Pro
100,17,26,2024-08-20,79,USD,Paid,Pro
101,17,26,2024-09-20,79,USD,Paid,Pro
102,17,26,2024-10-20,79,USD,Paid,Pro
103,17,26,2024-11-20,79,USD,Paid,Pro
104,17,26,2024-12-20,79,USD,Paid,Pro
105,18,28,2022-01-20,499,USD,Paid,Enterprise
106,18,28,2022-02-20,499,USD,Paid,Enterprise
107,18,28,2022-03-20,499,USD,Paid,Enterprise
108,18,28,2022-04-20,499,USD,Paid,Enterprise
109,18,29,2022-05-20,199,USD,Paid,Business
110,18,29,2022-06-20,199,USD,Paid,Business
111,18,29,2022-07-20,199,USD,Paid,Business
112,18,29,2022-08-20,199,USD,Paid,Business
113,18,29,2022-09-20,199,USD,Paid,Business
114,18,29,2022-10-20,199,USD,Paid,Business
115,18,29,2022-11-20,199,USD,Paid,Business
116,18,29,2022-12-20,199,USD,Paid,Business
117,18,29,2023-01-20,199,USD,Paid,Business
118,18,29,2023-02-20,199,USD,Paid,Business
119,18,29,2023-03-20,199,USD,Paid,Business
120,18,29,2023-04-20,199,USD,Paid,Business
121,18,29,2023-05-20,199,USD,Paid,Business
122,18,29,2023-06-20,199,USD,Paid,Business
123,18,29,2023-07-20,199,USD,Paid,Business
124,18,29,2023-08-20,199,USD,Paid,Business
125,18,29,2023-09-20,199,USD,Paid,Business
126,18,29,2023-10-20,199,USD,Paid,Business
127,18,29,2023-11-20,199,USD,Paid,Business
128,18,29,2023-12-20,199,USD,Paid,Business
129,18,29,2024-01-20,199,USD,Paid,Business
130,18,29,2024-02-20,199,USD,Paid,Business
131,18,29,2024-03-20,199,USD,Paid,Business
132,18,29,2024-04-20,199,USD,Paid,Business
133,18,29,2024-05-20,199,USD,Paid,Business
134,18,29,2024-06-20,199,USD,Failed,Business
135,18,29,2024-07-20,199,USD,Paid,Business
136,18,29,2024-08-20,199,USD,Paid,Business
137,18,29,2024-09-20,199,USD,Paid,Business
138,18,29,2024-10-20,199,USD,Paid,Business
139,18,29,2024-11-20,199,USD,Paid,Business
140,18,29,2024-12-20,199,USD,Paid,Business
141,22,34,2022-01-22,499,USD,Paid,Enterprise
142,22,34,2022-02-22,499,USD,Paid,Enterprise
143,22,35,2022-03-22,199,USD,Paid,Business
144,22,35,2022-04-22,199,USD,Paid,Business
145,22,35,2022-05-22,199,USD,Paid,Business
146,22,35,2022-06-22,199,USD,Paid,Business
147,22,35,2022-07-22,199,USD,Paid,Business
148,22,35,2022-08-22,199,USD,Failed,Business
149,22,35,2022-09-22,199,USD,Paid,Business
150,22,35,2022-10-22,199,USD,Paid,Business
151,22,36,2022-11-22,79,USD,Paid,Pro
152,22,36,2022-12-22,79,USD,Paid,Pro
153,22,36,2023-01-22,79,USD,Paid,Pro
154,22,36,2023-02-22,79,USD,Paid,Pro
155,22,36,2023-03-22,79,USD,Failed,Pro
156,22,36,2023-04-22,79,USD,Paid,Pro
157,22,36,2023-05-22,79,USD,Failed,Pro
158,22,36,2023-06-22,79,USD,Paid,Pro
159,22,36,2023-07-22,79,USD,Paid,Pro
160,22,36,2023-08-22,79,USD,Paid,Pro
161,22,36,2023-09-22,79,USD,Paid,Pro
162,22,36,2023-10-22,79,USD,Paid,Pro
163,22,36,2023-11-22,79,USD,Paid,Pro
164,22,36,2023-12-22,79,USD,Failed,Pro
165,22,36,2024-01-22,79,USD,Paid,Pro
166,22,36,2024-02-22,79,USD,Paid,Pro
167,22,36,2024-03-22,79,USD,Paid,Pro
168,22,36,2024-04-22,79,USD,Paid,Pro
169,22,36,2024-05-22,79,USD,Paid,Pro
170,22,36,2024-06-22,79,USD,Paid,Pro
171,22,36,2024-07-22,79,USD,Paid,Pro
172,22,36,2024-08-22,79,USD,Paid,Pro
173,25,40,2022-01-27,79,USD,Paid,Pro
174,25,40,2022-02-27,79,USD,Paid,Pro
175,36,52,2022-02-03,79,USD,Paid,Pro
176,36,52,2022-03-03,79,USD,Paid,Pro
177,36,52,2022-04-03,79,USD,Paid,Pro
178,36,52,2022-05-03,79,USD,Paid,Pro
179,36,52,2022-06-03,79,USD,Paid,Pro
180,40,57,2022-02-07,499,USD,Paid,Enterprise
181,40,57,2022-03-07,499,USD,Paid,Enterprise
182,40,57,2022-04-07,499,USD,Paid,Enterprise
183,40,57,2022-05-07,499,USD,Paid,Enterprise
184,40,57,2022-06-07,499,USD,Paid,Enterprise
185,40,57,2022-07-07,499,USD,Paid,Enterprise
186,40,57,2022-08-07,499,USD,Paid,Enterprise
187,40,57,2022-09-07,499,USD,Paid,Enterprise
188,40,57,2022-10-07,499,USD,Paid,Enterprise
189,40,57,2022-11-07,499,USD,Paid,Enterprise
190,40,57,2022-12-07,499,USD,Failed,Enterprise
191,40,57,2023-01-07,499,USD,Paid,Enterprise
192,40,57,2023-02-07,499,USD,Paid,Enterprise
193,40,57,2023-03-07,499,USD,Paid,Enterprise
194,40,57,2023-04-07,499,USD,Paid,Enterprise
195,40,57,2023-05-07,499,USD,Paid,Enterprise
196,40,57,2023-06-07,499,USD,Paid,Enterprise
197,40,57,2023-07-07,499,USD,Paid,Enterprise
198,40,57,2023-08-07,499,USD,Paid,Enterprise
199,40,57,2023-09-07,499,USD,Paid,Enterprise
200,40,57,2023-10-07,499,USD,Paid,Enterprise
201,40,57,2023-11-07,499,USD,Paid,Enterprise
202,40,57,2023-12-07,499,USD,Paid,Enterprise
203,40,57,2024-01-07,499,USD,Paid,Enterprise
204,40,57,2024-02-07,499,USD,Paid,Enterprise
205,40,57,2024-03-07,499,USD,Paid,Enterprise
206,40,57,2024-04-07,499,USD,Failed,Enterprise
207,40,57,2024-05-07,499,USD,Paid,Enterprise
208,40,57,2024-06-07,499,USD,Paid,Enterprise
209,40,57,2024-07-07,499,USD,Paid,Enterprise
210,40,57,2024-08-07,499,USD,Paid,Enterprise
211,40,57,2024-09-07,499,USD,Paid,Enterprise
212,40,57,2024-10-07,499,USD,Paid,Enterprise
213,40,57,2024-11-07,499,USD,Paid,Enterprise
214,40,57,2024-12-07,499,USD,Paid,Enterprise
215,41,59,2022-02-07,199,USD,Paid,Business
216,41,59,2022-03-07,199,USD,Paid,Business
217,41,59,2022-04-07,199,USD,Paid,Business
218,44,63,2022-02-08,199,USD,Paid,Business
219,44,63,2022-03-08,199,USD,Paid,Business
220,44,63,2022-04-08,199,USD,Paid,Business
221,44,64,2022-05-08,499,USD,Paid,Enterprise
222,44,64,2022-06-08,499,USD,Paid,Enterprise
223,44,64,2022-07-08,499,USD,Failed,Enterprise
224,44,64,2022-08-08,499,USD,Paid,Enterprise
225,44,65,2022-09-08,199,USD,Paid,Business
226,44,65,2022-10-08,199,USD,Paid,Business
227,44,65,2022-11-08,199,USD,Paid,Business
228,44,65,2022-12-08,199,USD,Paid,Business
229,44,65,2023-01-08,199,USD,Paid,Business
230,44,65,2023-02-08,199,USD,Paid,Business
231,44,65,2023-03-08,199,USD,Paid,Business
232,44,65,2023-04-08,199,USD,Paid,Business
233,44,65,2023-05-08,199,USD,Paid,Business
234,44,65,2023-06-08,199,USD,Paid,Business
235,44,65,2023-07-08,199,USD,Paid,Business
236,45,67,2022-02-09,29,USD,Paid,Starter
237,49,72,2022-02-10,199,USD,Paid,Business
238,49,72,2022-03-10,199,USD,Paid,Business
239,49,72,2022-04-10,199,USD,Failed,Business
240,49,72,2022-05-10,199,USD,Paid,Business
241,49,72,2022-06-10,199,USD,Paid,Business
242,49,72,2022-07-10,199,USD,Paid,Business
243,49,72,2022-08-10,199,USD,Paid,Business
244,57,81,2022-02-15,79,USD,Paid,Pro
245,57,81,2022-03-15,79,USD,Paid,Pro
246,57,81,2022-04-15,79,USD,Paid,Pro
247,57,82,2022-05-15,29,USD,Paid,Starter
248,57,82,2022-06-15,29,USD,Paid,Starter
249,57,82,2022-07-15,29,USD,Paid,Starter
250,57,82,2022-08-15,29,USD,Paid,Starter
251,57,82,2022-09-15,29,USD,Paid,Starter
252,57,82,2022-10-15,29,USD,Paid,Starter
253,57,82,2022-11-15,29,USD,Paid,Starter
254,57,82,2022-12-15,29,USD,Paid,Starter
255,57,82,2023-01-15,29,USD,Paid,Starter
256,57,82,2023-02-15,29,USD,Paid,Starter
257,57,82,2023-03-15,29,USD,Paid,Starter
258,57,82,2023-04-15,29,USD,Paid,Starter
259,57,82,2023-05-15,29,USD,Paid,Starter
260,57,82,2023-06-15,29,USD,Paid,Starter
261,57,82,2023-07-15,29,USD,Paid,Starter
262,57,82,2023-08-15,29,USD,Paid,Starter
263,57,82,2023-09-15,29,USD,Paid,Starter
264,57,82,2023-10-15,29,USD,Paid,Starter
265,57,82,2023-11-15,29,USD,Paid,Starter
266,62,88,2022-02-17,79,USD,Paid,Pro
267,62,88,2022-03-17,79,USD,Paid,Pro
268,62,88,2022-04-17,79,USD,Paid,Pro
269,62,88,2022-05-17,79,USD,Paid,Pro
270,62,88,2022-06-17,79,USD,Paid,Pro
271,62,88,2022-07-17,79,USD,Paid,Pro
272,62,88,2022-08-17,79,USD,Paid,Pro
273,62,88,2022-09-17,79,USD,Paid,Pro
274,62,88,2022-10-17,79,USD,Paid,Pro
275,62,88,2022-11-17,79,USD,Paid,Pro
276,63,90,2022-02-17,199,USD,Paid,Business
277,63,90,2022-03-17,199,USD,Paid,Business
278,63,91,2022-04-17,79,USD,Paid,Pro
279,63,91,2022-05-17,79,USD,Paid,Pro
280,63,91,2022-06-17,79,USD,Paid,Pro
281,63,91,2022-07-17,79,USD,Paid,Pro
282,63,91,2022-08-17,79,USD,Paid,Pro
283,63,91,2022-09-17,79,USD,Paid,Pro
284,63,91,2022-10-17,79,USD,Paid,Pro
285,63,91,2022-11-17,79,USD,Paid,Pro
286,63,91,2022-12-17,79,USD,Paid,Pro
287,63,91,2023-01-17,79,USD,Paid,Pro
288,64,93,2022-02-17,199,USD,Paid,Business
289,64,93,2022-03-17,199,USD,Paid,Business
290,64,93,2022-04-17,199,USD,Paid,Business
291,64,93,2022-05-17,199,USD,Paid,Business
292,64,93,2022-06-17,199,USD,Paid,Business
293,64,93,2022-07-17,199,USD,Paid,Business
294,64,93,2022-08-17,199,USD,Paid,Business
295,64,93,2022-09-17,199,USD,Paid,Business
296,64,93,2022-10-17,199,USD,Paid,Business
297,64,93,2022-11-17,199,USD,Paid,Business
298,64,93,2022-12-17,199,USD,Paid,Business
299,64,93,2023-01-17,199,USD,Paid,Business
300,64,93,2023-02-17,199,USD,Paid,Business
301,64,93,2023-03-17,199,USD,Paid,Business
302,64,93,2023-04-17,199,USD,Paid,Business
303,64,93,2023-05-17,199,USD,Paid,Business
304,64,93,2023-06-17,199,USD,Paid,Business
305,64,93,2023-07-17,199,USD,Failed,Business
306,64,93,2023-08-17,199,USD,Paid,Business
307,64,93,2023-09-17,199,USD,Paid,Business
308,64,93,2023-10-17,199,USD,Paid,Business
