usage_id,customer_id,week_start,plan,sessions,active_users,api_calls,storage_used_gb,pre_churn_flag
1,4,2022-01-15,Business,96,22,12881,48.23,0
2,4,2022-01-22,Business,75,48,2981,55.55,0
3,4,2022-01-29,Business,56,46,12350,81.47,0
4,4,2022-02-05,Business,112,30,12396,17.1,0
5,4,2022-02-12,Business,40,23,7382,60.04,0
6,4,2022-07-15,Pro,22,7,1303,19.3,1
7,4,2022-07-22,Pro,13,6,1656,2.06,1
8,4,2022-07-29,Pro,9,4,465,15.67,1
9,4,2022-08-05,Pro,8,2,888,17.42,1
10,4,2022-08-12,Pro,5,2,711,16.4,1
11,8,2023-01-16,Business,162,51,13599,57.68,0
12,8,2023-01-23,Business,128,19,8884,36.87,0
13,8,2023-01-30,Business,85,14,3534,89.31,0
14,8,2023-02-06,Business,82,20,12831,61.92,0
15,8,2023-02-13,Business,102,41,7432,59.17,0
16,8,2024-12-16,Enterprise,147,85,17844,59.9,0
17,8,2024-12-23,Enterprise,132,146,87221,388.9,0
18,8,2024-12-30,Enterprise,313,197,38610,128.66,0
19,13,2022-04-18,Pro,16,6,1836,11.73,1
20,13,2022-04-25,Pro,17,7,2433,14.54,1
21,13,2022-05-02,Pro,16,3,1454,17.69,1
22,13,2022-05-09,Pro,8,1,917,14.94,1
23,13,2022-05-16,Pro,4,1,366,12.39,1
24,16,2022-08-19,Pro,65,14,1025,7.54,0
25,16,2022-08-26,Pro,49,4,1153,14.39,0
26,16,2022-09-02,Pro,24,13,4598,18.01,0
27,16,2022-09-09,Pro,26,13,3604,18.96,0
28,16,2022-09-16,Pro,34,9,682,3.13,0
29,16,2023-09-19,Business,92,11,3798,61.86,1
30,16,2023-09-26,Business,53,19,3140,50.62,1
31,16,2023-10-03,Business,48,13,1071,53.56,1
32,16,2023-10-10,Business,14,10,1448,55.27,1
33,16,2023-10-17,Business,23,6,1531,95.01,1
34,17,2022-08-20,Business,47,42,12580,64.25,0
35,17,2022-08-27,Business,92,51,2479,29.11,0
36,17,2022-09-03,Business,50,44,13443,31.36,0
37,17,2022-09-10,Business,49,49,3799,79.95,0
38,17,2022-09-17,Business,46,39,5079,80.51,0
39,17,2024-12-20,Pro,32,11,2142,12.29,0
40,17,2024-12-27,Pro,27,12,4813,19.49,0
41,18,2022-04-20,Enterprise,479,36,79348,275.59,0
42,18,2022-04-27,Enterprise,184,46,20839,356.7,0
43,18,2022-05-04,Enterprise,299,136,48923,420.09,0
44,18,2022-05-11,Enterprise,423,89,51528,311.67,0
45,18,2022-05-18,Enterprise,423,84,49469,366.68,0
46,18,2024-12-20,Business,66,35,2193,58.71,0
47,18,2024-12-27,Business,122,26,17781,91.58,0
48,22,2022-02-22,Enterprise,117,104,15118,393.32,0
49,22,2022-03-01,Enterprise,474,31,109733,482.84,0
50,22,2022-03-08,Enterprise,353,89,45467,249.44,0
51,22,2022-03-15,Enterprise,375,181,71365,408.78,0
52,22,2022-03-22,Enterprise,518,131,33835,319.03,0
53,22,2022-10-22,Business,40,24,12332,83.14,0
54,22,2022-10-29,Business,42,13,18147,57.41,0
55,22,2022-11-05,Business,48,34,14856,79.95,0
56,22,2022-11-12,Business,58,30,2927,82.37,0
57,22,2022-11-19,Business,41,34,8141,9.88,0
58,22,2024-08-22,Pro,24,6,2926,17.3,1
59,22,2024-08-29,Pro,26,2,2562,9.45,1
60,22,2024-09-05,Pro,14,6,976,14.87,1
61,22,2024-09-12,Pro,7,2,685,13.96,1
62,22,2024-09-19,Pro,3,1,496,15.93,1
63,25,2022-02-27,Pro,10,2,1075,6.26,1
64,25,2022-03-06,Pro,7,4,2346,6.43,1
65,25,2022-03-13,Pro,4,4,429,11.34,1
66,25,2022-03-20,Pro,8,2,652,16.4,1
67,25,2022-03-27,Pro,35,10,1376,6.26,0
68,36,2022-06-03,Pro,23,9,1698,16.99,1
69,36,2022-06-10,Pro,24,6,370,17.27,1
70,36,2022-06-17,Pro,9,1,1435,12.88,1
71,36,2022-06-24,Pro,10,1,855,17.74,1
72,36,2022-07-01,Pro,11,2,867,13.02,1
73,40,2024-12-07,Enterprise,167,30,39653,363.05,0
74,40,2024-12-14,Enterprise,267,130,61690,165.06,0
75,40,2024-12-21,Enterprise,143,40,22301,171.99,0
76,40,2024-12-28,Enterprise,256,81,75023,235.59,0
77,41,2022-04-07,Business,44,18,4788,38.23,1
78,41,2022-04-14,Business,27,22,6561,21.84,1
79,41,2022-04-21,Business,21,11,4501,27.73,1
80,41,2022-04-28,Business,13,7,1676,50.21,1
81,41,2022-05-05,Business,32,5,1178,100.14,1
82,44,2022-04-08,Business,117,27,9075,17.05,0
83,44,2022-04-15,Business,62,43,17164,76.93,0
84,44,2022-04-22,Business,127,37,2948,50.01,0
85,44,2022-04-29,Business,165,11,5726,60.5,0
86,44,2022-05-06,Business,60,37,12172,58.64,0
87,44,2022-08-08,Enterprise,165,69,34825,441.89,0
88,44,2022-08-15,Enterprise,397,149,38165,106.24,0
89,44,2022-08-22,Enterprise,446,106,76769,210.66,0
90,44,2022-08-29,Enterprise,409,133,13894,179.21,0
91,44,2022-09-05,Enterprise,205,185,15159,326.59,0
92,44,2023-07-08,Business,47,32,4732,55.12,1
93,44,2023-07-15,Business,47,13,6954,13.84,1
94,44,2023-07-22,Business,18,11,5344,47.15,1
95,44,2023-07-29,Business,6,10,864,96.42,1
96,44,2023-08-05,Business,11,9,930,46.25,1
97,45,2022-02-09,Starter,6,1,700,3.5,1
98,45,2022-02-16,Starter,5,1,168,1.53,1
99,45,2022-02-23,Starter,3,1,91,3.64,1
100,45,2022-03-02,Starter,1,1,98,4.6,1
101,45,2022-03-09,Starter,21,2,403,2.59,0
102,49,2022-08-10,Business,44,7,12386,86.69,1
103,49,2022-08-17,Business,50,25,3373,75.37,1
104,49,2022-08-24,Business,17,4,4842,47.75,1
105,49,2022-08-31,Business,14,10,1811,89.26,1
106,49,2022-09-07,Business,28,3,3749,88.13,1
107,57,2022-04-15,Pro,29,12,2265,18.32,0
108,57,2022-04-22,Pro,62,8,5205,17.34,0
109,57,2022-04-29,Pro,18,7,4443,5.17,0
110,57,2022-05-06,Pro,19,11,1421,18.73,0
111,57,2022-05-13,Pro,48,12,2346,14.89,0
112,57,2023-11-15,Starter,4,1,327,5.06,1
113,57,2023-11-22,Starter,4,1,118,1.04,1
114,57,2023-11-29,Starter,3,2,97,3.47,1
115,57,2023-12-06,Starter,2,1,107,1.37,1
116,57,2023-12-13,Starter,2,1,25,4.57,1
117,62,2022-11-17,Pro,11,6,390,4.88,1
118,62,2022-11-24,Pro,27,3,1730,15.43,1
119,62,2022-12-01,Pro,20,2,418,5.31,1
120,62,2022-12-08,Pro,10,2,1015,15.45,1
121,62,2022-12-15,Pro,5,2,512,9.19,1
122,63,2022-03-17,Business,49,47,10929,48.96,0
123,63,2022-03-24,Business,76,14,14297,70.03,0
124,63,2022-03-31,Business,46,38,5983,64.41,0
125,63,2022-04-07,Business,122,34,13494,69.16,0
126,63,2022-04-14,Business,156,36,13068,56.4,0
127,63,2023-01-17,Pro,16,7,3237,10.28,1
128,63,2023-01-24,Pro,10,6,2254,15.07,1
129,63,2023-01-31,Pro,15,3,1674,5.71,1
130,63,2023-02-07,Pro,9,1,1063,3.13,1
131,63,2023-02-14,Pro,10,1,240,3.1,1
132,64,2023-10-17,Business,36,32,14498,85.42,1
133,64,2023-10-24,Business,25,21,5109,47.29,1
134,64,2023-10-31,Business,55,9,6848,38.46,1
135,64,2023-11-07,Business,21,6,4335,10.14,1
136,64,2023-11-14,Business,23,4,2165,102.18,1
137,70,2022-03-21,Enterprise,207,112,50219,382.19,1
138,70,2022-03-28,Enterprise,86,57,40209,245.49,1
139,70,2022-04-04,Enterprise,55,33,24837,423.32,1
140,70,2022-04-11,Enterprise,41,33,15576,66.23,1
141,70,2022-04-18,Enterprise,44,23,5592,239.87,1
142,72,2022-06-21,Business,90,48,11257,55.35,0
143,72,2022-06-28,Business,158,21,2770,16.86,0
144,72,2022-07-05,Business,97,49,16798,36.22,0
145,72,2022-07-12,Business,47,31,14548,59.4,0
146,72,2022-07-19,Business,47,34,18988,73.3,0
147,72,2023-03-21,Enterprise,185,150,62266,475.91,1
148,72,2023-03-28,Enterprise,236,41,21136,149.87,1
149,72,2023-04-04,Enterprise,117,66,23140,83.3,1
150,72,2023-04-11,Enterprise,106,35,17183,116.3,1
151,72,2023-04-18,Enterprise,23,9,16336,248.3,1
152,73,2023-07-22,Pro,23,7,3272,4.5,0
153,73,2023-07-29,Pro,43,4,2104,5.61,0
154,73,2023-08-05,Pro,37,8,4285,2.9,0
155,73,2023-08-12,Pro,24,6,1540,11.58,0
156,73,2023-08-19,Pro,17,8,4913,13.6,0
157,73,2023-09-22,Starter,6,2,527,3.03,1
158,73,2023-09-29,Starter,11,1,118,0.7,1
159,73,2023-10-06,Starter,5,1,129,0.63,1
160,73,2023-10-13,Starter,2,1,210,4.1,1
161,73,2023-10-20,Starter,1,1,196,1.94,1
162,76,2024-10-24,Enterprise,220,189,39639,75.76,0
163,76,2024-10-31,Enterprise,311,136,28635,240.73,0
164,76,2024-11-07,Enterprise,208,194,56312,280.58,0
165,76,2024-11-14,Enterprise,200,149,91047,298.51,0
166,76,2024-11-21,Enterprise,530,202,25390,463.12,0
167,76,2024-12-24,Business,47,50,15235,92.36,0
168,76,2024-12-31,Business,67,41,11913,78.67,0
169,79,2022-04-24,Starter,7,1,418,1.15,1
170,79,2022-05-01,Starter,6,1,475,4.81,1
171,79,2022-05-08,Starter,2,1,79,1.12,1
172,79,2022-05-15,Starter,2,1,143,3.5,1
173,79,2022-05-22,Starter,2,1,30,0.61,1
174,81,2022-03-25,Starter,11,2,493,3.56,1
175,81,2022-04-01,Starter,7,1,70,4.82,1
176,81,2022-04-08,Starter,3,1,346,5.06,1
177,81,2022-04-15,Starter,1,1,131,1.3,1
178,81,2022-04-22,Starter,1,1,45,3.7,1
179,82,2024-08-25,Business,29,9,7098,26.02,1
180,82,2024-09-01,Business,12,5,2776,44.12,1
181,82,2024-09-08,Business,23,12,942,49.57,1
182,82,2024-09-15,Business,8,2,3069,79.11,1
183,82,2024-09-22,Business,22,2,880,74.87,1
184,84,2022-03-25,Pro,15,10,1689,16.71,1
185,84,2022-04-01,Pro,18,8,355,11.76,1
186,84,2022-04-08,Pro,14,2,893,5.37,1
187,84,2022-04-15,Pro,3,1,1012,16.72,1
188,84,2022-04-22,Pro,8,1,520,12.14,1
189,87,2024-12-25,Enterprise,296,90,52393,114.13,0
190,98,2022-06-01,Starter,11,1,504,5.1,1
191,98,2022-06-08,Starter,9,1,408,4.21,1
192,98,2022-06-15,Starter,3,1,215,2.99,1
193,98,2022-06-22,Starter,4,1,173,4.62,1
194,98,2022-06-29,Starter,1,1,64,4.01,1
195,103,2023-07-03,Pro,50,4,4146,17.56,1
196,103,2023-07-10,Pro,21,8,878,9.27,1
197,103,2023-07-17,Pro,13,3,595,17.81,1
198,103,2023-07-24,Pro,6,2,642,2.66,1
199,103,2023-07-31,Pro,13,3,499,6.06,1
200,104,2022-08-04,Starter,10,4,1010,4.79,0
201,104,2022-08-11,Starter,12,2,133,0.6,0
202,104,2022-08-18,Starter,21,4,159,0.53,0
203,104,2022-08-25,Starter,18,1,652,1.82,0
204,104,2022-09-01,Starter,12,3,676,4.7,0
205,104,2022-11-04,Pro,55,13,2950,3.3,0
206,104,2022-11-11,Pro,27,6,1775,3.35,0
207,104,2022-11-18,Pro,39,6,2334,7.88,0
208,104,2022-11-25,Pro,44,11,1237,12.32,0
