subscription_id,customer_id,plan,monthly_price,status,start_date,end_date,is_trial,mrr_movement
1,1,Starter,0,Cancelled,2022-01-01,2022-01-15,True,Trial
2,2,Pro,0,Cancelled,2022-01-01,2022-01-15,True,Trial
3,3,Pro,0,Cancelled,2022-01-01,2022-01-15,True,Trial
4,4,Business,0,Active,2022-01-01,,True,Trial
5,4,Business,199,Downgraded,2022-01-15,2022-02-15,False,Contraction MRR
6,4,Pro,79,Cancelled,2022-07-15,2022-08-15,False,Churned MRR
7,5,Pro,0,Cancelled,2022-01-02,2022-01-16,True,Trial
8,6,Starter,0,Cancelled,2022-01-02,2022-01-16,True,Trial
9,7,Enterprise,0,Cancelled,2022-01-02,2022-01-16,True,Trial
10,8,Business,0,Active,2022-01-02,,True,Trial
11,8,Business,199,Upgraded,2023-01-16,2023-02-16,False,Expansion MRR
12,8,Enterprise,499,Downgraded,2024-12-16,2025-01-16,False,Contraction MRR
13,9,Pro,0,Cancelled,2022-01-02,2022-01-16,True,Trial
14,10,Pro,0,Cancelled,2022-01-02,2022-01-16,True,Trial
15,11,Starter,0,Cancelled,2022-01-03,2022-01-17,True,Trial
16,12,Starter,0,Cancelled,2022-01-04,2022-01-18,True,Trial
17,13,Pro,0,Active,2022-01-04,,True,Trial
18,13,Pro,79,Cancelled,2022-04-18,2022-05-18,False,Churned MRR
19,14,Starter,0,Cancelled,2022-01-04,2022-01-18,True,Trial
20,15,Business,0,Cancelled,2022-01-05,2022-01-19,True,Trial
21,16,Pro,0,Active,2022-01-05,,True,Trial
22,16,Pro,79,Upgraded,2022-08-19,2022-09-19,False,Expansion MRR
23,16,Business,199,Cancelled,2023-09-19,2023-10-19,False,Churned MRR
24,17,Business,0,Active,2022-01-06,,True,Trial
25,17,Business,199,Downgraded,2022-08-20,2022-09-20,False,Contraction MRR
26,17,Pro,79,Active,2024-12-20,,False,Recurring
27,18,Enterprise,0,Active,2022-01-06,,True,Trial
28,18,Enterprise,499,Downgraded,2022-04-20,2022-05-20,False,Contraction MRR
29,18,Business,199,Active,2024-12-20,,False,Recurring
30,19,Business,0,Cancelled,2022-01-07,2022-01-21,True,Trial
31,20,Pro,0,Cancelled,2022-01-07,2022-01-21,True,Trial
