ticket_id,customer_id,plan,created_date,closed_date,category,priority,resolution_hrs,csat_score,pre_churn_flag
1,4,Business,2022-01-19,2022-01-22,Feature Request,Low,82,1,0
2,4,Business,2022-03-05,2022-03-06,Onboarding,Low,43,5,0
3,4,Pro,2022-07-21,2022-07-24,Account,Low,86,2,1
4,4,Pro,2022-07-22,2022-07-23,Onboarding,Medium,25,3,1
5,4,Pro,2022-09-05,2022-09-08,Billing,Low,91,2,1
6,4,Pro,2022-08-20,2022-08-20,Account,Medium,15,1,1
7,4,Pro,2022-09-08,2022-09-08,Feature Request,Medium,14,3,1
8,4,Pro,2022-09-02,2022-09-02,Onboarding,High,11,3,1
9,4,Pro,2022-09-09,2022-09-10,Feature Request,Medium,33,2,1
10,4,Pro,2022-09-09,2022-09-10,Onboarding,Medium,31,1,1
11,8,Business,2023-01-18,2023-01-19,Performance,Medium,38,5,0
12,8,Enterprise,2025-01-08,2025-01-08,Feature Request,Medium,21,4,0
13,13,Pro,2022-05-14,2022-05-17,Account,Low,72,3,1
14,16,Pro,2022-09-30,2022-10-03,Feature Request,Low,72,4,0
15,16,Business,2023-10-10,2023-10-10,Onboarding,High,16,2,1
16,16,Business,2023-09-29,2023-09-29,Billing,High,18,3,1
17,16,Business,2023-10-05,2023-10-05,Feature Request,High,11,2,1
18,16,Business,2023-10-02,2023-10-03,Performance,Medium,27,3,1
19,16,Business,2023-09-23,2023-09-24,Performance,Medium,38,2,1
20,16,Business,2023-09-23,2023-09-25,Onboarding,Low,57,2,1
21,17,Business,2022-09-16,2022-09-16,Performance,Medium,15,3,0
22,17,Business,2022-09-13,2022-09-13,Billing,High,14,4,0
23,17,Business,2022-08-27,2022-08-27,Billing,Medium,14,5,0
24,17,Business,2022-09-02,2022-09-02,Account,High,10,2,0
25,17,Business,2022-08-27,2022-08-28,Account,Low,41,4,0
26,17,Business,2022-09-11,2022-09-12,Feature Request,Medium,28,3,0
27,17,Business,2022-09-19,2022-09-23,Account,Low,114,5,0
28,17,Pro,2025-01-07,2025-01-07,Onboarding,High,4,4,0
29,18,Enterprise,2022-04-23,2022-04-23,Performance,Critical,1,4,0
30,18,Enterprise,2022-05-03,2022-05-04,Feature Request,Medium,37,4,0
31,18,Enterprise,2022-05-16,2022-05-16,Account,High,22,3,0
32,18,Enterprise,2022-04-24,2022-04-24,Billing,High,9,4,0
33,22,Enterprise,2022-03-06,2022-03-06,Onboarding,Medium,14,4,0
34,22,Enterprise,2022-03-06,2022-03-07,Onboarding,Medium,27,5,0
35,22,Enterprise,2022-03-05,2022-03-06,Performance,Low,26,3,0
36,22,Enterprise,2022-03-05,2022-03-06,Performance,Medium,40,1,0
37,22,Enterprise,2022-02-22,2022-02-23,Technical,Low,37,5,0
38,22,Enterprise,2022-03-12,2022-03-14,Technical,Low,54,5,0
39,22,Enterprise,2022-02-24,2022-02-25,Performance,Medium,34,4,0
40,22,Business,2022-11-19,2022-11-20,Performance,Medium,27,5,0
41,22,Business,2022-11-12,2022-11-12,Feature Request,Medium,11,2,0
42,22,Business,2022-11-15,2022-11-17,Account,Low,69,5,0
43,22,Business,2022-12-12,2022-12-12,Feature Request,Medium,11,5,0
44,22,Pro,2024-09-18,2024-09-18,Billing,Medium,11,1,1
45,22,Pro,2024-09-02,2024-09-05,Integration,Low,72,3,1
46,22,Pro,2024-09-30,2024-10-01,Billing,Low,44,1,1
47,22,Pro,2024-10-16,2024-10-16,Integration,High,9,1,1
48,22,Pro,2024-09-26,2024-09-27,Feature Request,Medium,46,5,1
49,22,Pro,2024-10-06,2024-10-10,Feature Request,Low,119,2,1
50,22,Pro,2024-10-05,2024-10-05,Billing,Critical,2,1,1
51,22,Pro,2024-10-12,2024-10-13,Feature Request,Medium,45,3,1
52,22,Pro,2024-10-01,2024-10-01,Account,Medium,13,1,1
